total_cup_points,species,country_of_origin,altitude_mean_meters,processing_method,aroma,flavor,aftertaste,acidity,body,balance,region
85,Arabica,Ethiopia,1310.64,Natural / Dry,7.75,8.0,7.58,8.0,8.0,7.92,"kefa zone, gimbo distict, at a place called woka araba, south west ethiopia."
85,Arabica,Colombia,2560.0,Natural / Dry,8.17,7.83,7.58,8.08,8.0,7.75,pasto
85,Arabica,Ethiopia,1700.0,Natural / Dry,8.42,8.0,7.42,8.0,7.92,7.92,aricha
85,Arabica,United States (Hawaii),1310.64,Natural / Dry,7.58,7.83,7.83,7.92,7.83,8.17,kona
85,Arabica,Colombia,2136.0,Natural / Dry,7.83,8.0,7.75,7.75,7.83,7.83,cundinamarca
85,Arabica,United States (Hawaii),1310.64,Washed / Wet,8.08,8.17,7.92,8.0,8.08,8.0,kona
85,Arabica,Ethiopia,1310.64,Washed / Wet,7.67,8.0,7.83,8.0,7.92,7.83,sidamo
85,Arabica,United States (Hawaii),1310.64,Washed / Wet,7.5,7.92,8.25,7.83,7.92,7.75,kona
85,Arabica,Uganda,1800.0,Washed / Wet,8.17,7.92,7.75,7.75,7.67,7.75,eastern uganda
85,Arabica,Colombia,1310.64,Washed / Wet,8.0,7.92,7.75,7.92,7.75,7.83,huila
85,Arabica,Costa Rica,1900.0,Washed / Wet,7.83,8.0,7.58,7.92,7.92,7.83,tarrazu
85,Arabica,Mexico,1300.0,Washed / Wet,7.83,8.0,7.83,7.75,7.67,7.83,veracruz
85,Arabica,Kenya,1580.0,Washed / Wet,7.75,7.83,7.75,8.08,8.0,7.75,central kenya
85,Arabica,Brazil,1100.0,Natural / Dry,8.0,8.0,7.83,7.83,7.67,7.67,grama valley
85,Arabica,Mexico,1400.0,Washed / Wet,7.92,8.17,7.75,8.08,7.42,7.83,mexico
85,Arabica,United States (Hawaii),1310.64,Washed / Wet,7.75,7.92,7.75,7.75,8.0,8.0,kona
85,Arabica,Guatemala,1325.88,Washed / Wet,7.83,8.08,7.67,8.0,7.75,7.67,"chuva, san marcos"
84,Arabica,Colombia,1310.64,Washed / Wet,7.92,7.92,7.67,7.83,7.92,7.83,huila
84,Arabica,Colombia,1775.0,Washed / Wet,7.92,7.83,7.75,7.83,7.75,8.0,huila
84,Arabica,Taiwan,800.0,Semi-washed / Semi-pulped,7.67,7.83,8.0,7.58,8.0,7.92,natou county
84,Arabica,"Tanzania, United Republic Of",1620.0,Washed / Wet,8.0,7.83,7.83,7.92,7.75,7.75,mbeya
84,Arabica,Colombia,1775.0,Washed / Wet,7.75,7.92,7.83,7.75,7.75,8.0,huila
84,Arabica,Mexico,1200.0,Semi-washed / Semi-pulped,7.75,8.0,7.75,7.83,7.5,7.92,coatepec
84,Arabica,Brazil,1200.0,Natural / Dry,8.0,7.92,7.75,7.75,8.0,7.75,south of minas
84,Arabica,Brazil,1000.0,Natural / Dry,8.0,8.0,7.75,8.0,7.5,7.75,south of minas
84,Arabica,Taiwan,350.0,Natural / Dry,7.92,7.58,7.83,7.83,7.83,7.83,"dongshan dist., tainan city 臺南市東山區"
84,Arabica,Uganda,1650.0,Natural / Dry,7.75,7.92,7.67,7.67,8.25,7.75,eastern
84,Arabica,United States (Hawaii),1310.64,Natural / Dry,7.67,7.75,7.75,7.75,7.83,8.0,kona
84,Arabica,Ethiopia,1750.0,Washed / Wet,7.75,7.92,7.83,7.92,7.75,7.67,sidamo
84,Arabica,Ethiopia,1750.0,Washed / Wet,7.42,7.92,7.92,8.0,7.83,7.83,sidamo
84,Arabica,Thailand,1310.64,Pulped natural / honey,7.75,7.75,7.75,7.75,8.0,7.75,thailand
84,Arabica,Kenya,1800.0,Washed / Wet,7.92,7.83,7.58,7.92,7.75,7.83,nyeri
